member_id,ward_number,office,total_raised_net,dev_linked_net,dev_affiliation_share,n_donors,threshold_setting,ward_development_intensity
Brad Bradford,19,Councillor,99460.0,17800.0,0.17896641866076815,153,0.5,115.0
Michael Thompson,21,Councillor,96500.0,3600.0,0.03730569948186528,117,0.5,115.0
Nick Mantas,22,Councillor,83200.0,3600.0,0.04326923076923077,79,0.5,103.0
Jamaal Myers,23,Councillor,35976.0,0.0,0.0,93,0.5,56.0
Paul Ainslie,24,Councillor,36350.0,0.0,0.0,53,0.5,94.0
Rachel Chernos Lin,15,Councillor,75785.43,6000.0,0.07917089076356762,181,0.5,271.0
Parthi Kandavel,20,Councillor,75985.0,0.0,0.0,117,0.5,129.0
Neethan Shan,25,Councillor,61876.0,0.0,0.0,147,0.5,69.0
Olivia Chow,0,Mayor,1461370.56,134675.76,0.0921571596460791,3212,0.35,0.0
Vincent Crisanti,1,Councillor,82200.0,1950.0,0.023722627737226276,90,0.35,75.0
Stephen Holyday,2,Councillor,6200.0,0.0,0.0,6,0.35,84.0
Amber Morley,3,Councillor,65712.32,650.0,0.009891600235694006,212,0.35,350.0
Gord Perks,4,Councillor,56651.0,500.0,0.008825969532753173,122,0.35,163.0
Frances Nunziata,5,Councillor,83850.0,4600.0,0.054859868813357186,110,0.35,267.0
James Pasternak,6,Councillor,87322.0,13800.0,0.15803577563500606,100,0.35,106.0
Anthony Perruzza,7,Councillor,81550.0,31100.0,0.38136112814224404,93,0.35,88.0
Mike Colle,8,Councillor,79855.01,15700.0,0.19660632438716116,114,0.35,451.0
Alejandra Bravo,9,Councillor,81289.45,450.0,0.005535773707412216,231,0.35,195.0
Ausma Malik,10,Councillor,94070.46,7465.0,0.07935541082716084,259,0.35,303.0
Dianne Saxe,11,Councillor,64944.58,3315.24,0.051047215949352506,152,0.35,255.0
Josh Matlow,12,Councillor,79853.07,7753.2,0.09709332402623969,208,0.35,439.0
Chris Moise,13,Councillor,88059.8,6783.48,0.07703265281093075,142,0.35,525.0
Paula Fletcher,14,Councillor,75877.0,750.0,0.009884418203144563,194,0.35,174.0
Jon Burnside,16,Councillor,82875.0,7800.0,0.09411764705882353,112,0.35,101.0
Shelley Carroll,17,Councillor,64775.0,5100.0,0.07873407950598224,95,0.35,109.0
Lily Cheng,18,Councillor,68213.12,300.0,0.004397980916281208,180,0.35,312.0
Brad Bradford,19,Councillor,99460.0,27350.0,0.2749849185602252,153,0.35,115.0
Michael Thompson,21,Councillor,96500.0,12900.0,0.13367875647668392,117,0.35,115.0
Nick Mantas,22,Councillor,83200.0,4600.0,0.055288461538461536,79,0.35,103.0
Jamaal Myers,23,Councillor,35976.0,600.0,0.01667778519012675,93,0.35,56.0
Paul Ainslie,24,Councillor,36350.0,2050.0,0.05639614855570839,53,0.35,94.0
Rachel Chernos Lin,15,Councillor,75785.43,11516.55,0.15196258700386078,181,0.35,271.0
Parthi Kandavel,20,Councillor,75985.0,2200.0,0.028953082845298413,117,0.35,129.0
Neethan Shan,25,Councillor,61876.0,1200.0,0.01939362596160062,147,0.35,69.0
